Intensity Level,Direction,Ground Motion ID,story 1,story 2,story 3,story 4,story 5,story 6,story 7,story 8,story 9,story 10,story 11,story 12,story 13,story 14,story 15,story 16,story 17,story 18,story 19,story 20,story 21,story 22,story 23,story 24,story 25,story 26,story 27,story 28,story 29,story 30,story 31,story 32,story 33,story 34,story 35,story 36,story 37,story 38,story 39,story 40,story 41,story 42,story 43,story 44,story 45,story 46
DBEB,Y,10,0.000234668,0.000983985,0.001270486,0.001771486,0.003339873,0.003803826,0.004146183,0.004404913,0.004582164,0.004853564,0.004947007,0.005014359,0.00505613,0.005080895,0.005092938,0.005132071,0.005321517,0.005456449,0.00554794,0.005606892,0.005638671,0.005651436,0.005650553,0.005719382,0.005772071,0.005817184,0.00596329,0.006102573,0.006252041,0.006390721,0.006516572,0.006628992,0.006728014,0.006809697,0.006882392,0.006933749,0.006961697,0.006985049,0.007015974,0.007027744,0.007020879,0.00699654,0.006953984,0.006918374,0.00687534,0.006811559
DBEB,Y,11,0.000463689,0.000903817,0.001382737,0.001754363,0.002643387,0.003029548,0.003358755,0.003607075,0.00376222,0.003865097,0.003911185,0.003909044,0.003876219,0.00389908,0.003944838,0.003993362,0.004102795,0.004241163,0.004330926,0.004414631,0.00448097,0.004522637,0.004539319,0.004531992,0.004501569,0.004454421,0.004414468,0.004376511,0.004346955,0.004351282,0.004385787,0.004446906,0.004502472,0.004552285,0.004600252,0.004725139,0.004872247,0.004986528,0.005103524,0.005202117,0.005263467,0.005288464,0.005273976,0.005214356,0.005110254,0.004948609
MCEB,X,1,0.000236553,0.001156262,0.00140236,0.00204589,0.004408536,0.004079597,0.004398593,0.004696443,0.004929453,0.005138984,0.005317762,0.005475093,0.005614104,0.005744542,0.005860006,0.005980608,0.006184337,0.006365197,0.006493652,0.006596191,0.006801246,0.007014973,0.00721969,0.007411407,0.007589069,0.007768871,0.007938069,0.008089994,0.008222985,0.008335717,0.008427943,0.008501009,0.008563898,0.008616825,0.008664309,0.008699862,0.008709729,0.008710515,0.008694893,0.00867605,0.008650622,0.008613995,0.008572677,0.008522005,0.008474763,0.008410773
MCEB,X,2,0.000462453,0.001463076,0.001719677,0.002086086,0.004152105,0.003769453,0.00401314,0.004261104,0.004530141,0.005062556,0.005273628,0.00544898,0.005604571,0.005754026,0.005881069,0.005998978,0.006170674,0.006430578,0.006560369,0.006667853,0.006739223,0.006761522,0.006752933,0.006728288,0.006824036,0.007006413,0.007162289,0.007316761,0.007445625,0.007554645,0.007656353,0.007755967,0.007840892,0.007911677,0.00797929,0.008034371,0.008074263,0.008101468,0.008114805,0.008127795,0.008090607,0.008066714,0.008006742,0.007951468,0.007870191,0.007803625
MCEB,X,3,0.000294743,0.001296931,0.001567941,0.002121856,0.004682444,0.004524928,0.004749816,0.004898697,0.005134119,0.005812269,0.006244133,0.006431047,0.00667673,0.00699375,0.00710703,0.007274414,0.007459804,0.007772818,0.008139607,0.008479532,0.008775948,0.009081011,0.009378285,0.009644962,0.009882949,0.010121102,0.010315422,0.010547681,0.010751089,0.010919994,0.01108365,0.011207815,0.011331246,0.011438285,0.011534441,0.011604846,0.011653833,0.011671404,0.011646754,0.011637615,0.011628475,0.011580498,0.011532677,0.011459532,0.011408976,0.01131645
MCEB,X,4,0.000307259,0.001100579,0.001325237,0.001689479,0.003653662,0.003160727,0.003418547,0.003622985,0.003814049,0.003983699,0.004125222,0.004273458,0.004406812,0.004529766,0.004642196,0.004747126,0.004895484,0.005076224,0.005292937,0.005478574,0.005641029,0.005778727,0.005897093,0.006010775,0.006112827,0.006211704,0.006361612,0.006481988,0.006586716,0.006685669,0.006752149,0.006817938,0.006869596,0.006913979,0.006957554,0.006989455,0.007001592,0.00700924,0.006996154,0.006986386,0.006953311,0.006964938,0.006926136,0.006919068,0.006883601,0.006857206
MCEB,X,5,0.001703377,0.002542026,0.003095015,0.003800118,0.007809798,0.006670775,0.006882226,0.007070567,0.007174081,0.007325131,0.00733956,0.007295051,0.007648281,0.008220293,0.008598403,0.00879492,0.008952606,0.008926259,0.008834009,0.008753106,0.008761811,0.008851144,0.009147117,0.009412387,0.009606494,0.009810428,0.00993377,0.010088443,0.010237881,0.010454764,0.010757976,0.011083906,0.011342365,0.011560842,0.011677097,0.011652122,0.011517036,0.011344855,0.01107033,0.010748184,0.011241182,0.011489768,0.011592685,0.011533773,0.011447244,0.011391849
MCEB,X,6,0.001683987,0.003743328,0.004419533,0.005347501,0.007630282,0.006882999,0.00707012,0.007256965,0.007440727,0.007749115,0.008112775,0.00846227,0.008788738,0.009064511,0.009256333,0.009436525,0.009774785,0.009951031,0.010210539,0.010880095,0.011284523,0.011564793,0.0117525,0.011844429,0.011841535,0.01187636,0.011672496,0.011737463,0.011640818,0.01152691,0.011511486,0.011279495,0.011107611,0.011691553,0.012404983,0.013110774,0.013869366,0.014688815,0.015327465,0.015591822,0.015642619,0.015660852,0.015610069,0.015513321,0.015379643,0.015071279
MCEB,X,7,0.000694619,0.001904794,0.002364759,0.003258611,0.004322624,0.003816745,0.003881621,0.003968981,0.004212453,0.004426618,0.004610491,0.004775509,0.004924776,0.005061554,0.005181902,0.005306152,0.005521579,0.005703456,0.00583467,0.005932696,0.006002004,0.006156363,0.006308996,0.006425486,0.006559878,0.00668066,0.006815788,0.006941315,0.007106973,0.007201212,0.007508009,0.007859143,0.007977444,0.008045532,0.008066768,0.008069471,0.007918041,0.007834622,0.007797074,0.007790159,0.007794913,0.007745844,0.007708776,0.00762983,0.007567121,0.007426182
MCEB,X,8,0.000930535,0.001833739,0.002421318,0.003070878,0.005780903,0.005330149,0.005635116,0.005896394,0.006051635,0.006189976,0.00631506,0.006494469,0.006706937,0.006800522,0.006936125,0.00697697,0.007062095,0.007156322,0.00721696,0.007254597,0.007279327,0.00727615,0.007284691,0.007458582,0.00763576,0.007779299,0.00787265,0.007935393,0.007945976,0.007918882,0.007967397,0.008162502,0.008347176,0.008504294,0.008642579,0.008748427,0.008831851,0.008933136,0.008978606,0.008993669,0.008995485,0.008948059,0.008900692,0.008821309,0.008743753,0.008563715
