Intensity Level,Direction,Ground Motion ID,floor 1,floor 2,floor 3,floor 4,floor 5,floor 6,floor 7,floor 8,floor 9,floor 10,floor 11,floor 12,floor 13,floor 14,floor 15,floor 16,floor 17,floor 18,floor 19,floor 20,floor 21,floor 22,floor 23,floor 24,floor 25,floor 26,floor 27,floor 28,floor 29,floor 30,floor 31,floor 32,floor 33,floor 34,floor 35,floor 36,floor 37,floor 38,floor 39,floor 40,floor 41,floor 42,floor 43,floor 44,floor 45,floor 46,floor 47
MCEB,X,5,0,0,0,0,0.008498575,0.010479015,0.011352935,0.011933525,0.01232937,0.012680485,0.01306883,0.013361985,0.013529095,0.013611185,0.013682585,0.01367396,0.013943665,0.01377049,0.013217785,0.012334315,0.01116025,0.010394405,0.010254894,0.009835083,0.009756294,0.010191502,0.010351452,0.010305735,0.010763685,0.010981795,0.01085731,0.011134995,0.01157523,0.011885195,0.012212085,0.01207962,0.011553466,0.010308105,0.008657265,0.008885036,0.008184464,0.008404691,0.008035706,0.006865684,0.005611463,4.92E-14,0
MCEB,X,6,0,0,0,0,0.007566167,0.009855212,0.010819375,0.011312525,0.011375795,0.011085265,0.01104749,0.011283775,0.011833815,0.01240723,0.013019395,0.01349087,0.01459604,0.0155152,0.01598381,0.01630299,0.016669625,0.0168415,0.01685751,0.01670784,0.01641546,0.016010945,0.015447315,0.014886935,0.014069805,0.013117715,0.01192211,0.01125977,0.011039405,0.011132905,0.010766265,0.010470835,0.01038794,0.011524405,0.01152489,0.011018445,0.009739161,0.008698442,0.007690899,0.006785181,0.006104574,4.23E-14,0
MCEB,X,7,0,0,0,0,0.00341921,0.004497649,0.005281154,0.005777908,0.006005617,0.006016399,0.005832394,0.005621781,0.005382469,0.00530171,0.005384507,0.005424564,0.0056108,0.005683454,0.005743142,0.005789238,0.005814739,0.00589872,0.006233502,0.006431388,0.006421621,0.006524564,0.006606427,0.006566729,0.006446936,0.006244841,0.006402353,0.006632019,0.006757696,0.006854205,0.006923191,0.006789214,0.00652759,0.006125341,0.005857957,0.005416174,0.005329035,0.005133357,0.004838899,0.004449948,0.003598252,4.13E-14,0
MCEB,X,8,0,0,0,0,0.004724692,0.006960389,0.008434316,0.009545723,0.010497631,0.010799007,0.010845221,0.01059724,0.0102978,0.009877875,0.009412268,0.009137092,0.009406517,0.0095788,0.00975429,0.009697946,0.009435364,0.008987361,0.008349233,0.008548897,0.008813274,0.009085108,0.009150514,0.009015238,0.008785023,0.008433361,0.008225154,0.008192525,0.008177112,0.008014099,0.007922655,0.007760317,0.007467985,0.006894189,0.006818281,0.006520781,0.006013359,0.005405879,0.004686083,0.004016172,0.003139687,3.98E-14,0
MCEB,X,9,0,0,0,0,0.004886503,0.006924344,0.007971713,0.008614733,0.009019407,0.009119423,0.009298776,0.009332464,0.009528601,0.009637073,0.009718633,0.009796768,0.010135561,0.010357521,0.010691657,0.01100888,0.011179285,0.011158115,0.010929705,0.010528125,0.009918052,0.009534281,0.009081731,0.008940894,0.009115658,0.009471914,0.009629165,0.009592003,0.009456067,0.00919941,0.008829244,0.007963489,0.007230297,0.006262047,0.005580869,0.005268123,0.005103304,0.004802822,0.004208152,0.003622225,0.002702989,4.36E-14,0
MCEB,X,10,0,0,0,0,0.004015547,0.005662367,0.006726756,0.007440136,0.007905343,0.008099591,0.008074649,0.00789807,0.007650304,0.007370295,0.007255667,0.007252164,0.007430425,0.007411111,0.00726758,0.007021979,0.006712228,0.006551353,0.006448742,0.006469384,0.006625819,0.00698568,0.007054337,0.00715648,0.007408636,0.007415692,0.007397696,0.007371627,0.007294777,0.007168736,0.007110954,0.007017118,0.006712687,0.006488234,0.006171142,0.005742362,0.005184652,0.004521895,0.003731363,0.002985685,0.002295852,4.91E-14,0
MCEB,X,11,0,0,0,0,0.005169444,0.006993972,0.007986176,0.008698914,0.009432686,0.009839082,0.009989127,0.010057853,0.010154771,0.010248408,0.01039713,0.010389895,0.010582225,0.01078199,0.010903275,0.010913065,0.01079622,0.010536265,0.010201736,0.009776266,0.009456563,0.009507714,0.009484688,0.009348191,0.009058148,0.008697056,0.008441002,0.008050681,0.00763501,0.007363169,0.007018791,0.00648967,0.006086839,0.005761521,0.005710314,0.005599618,0.005651462,0.005426272,0.004972686,0.004446381,0.002568705,4.49E-14,0
MCEB,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCEB,Y,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCEB,Y,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
