Intensity Level,Direction,Ground Motion ID,floor 1,floor 2,floor 3,floor 4,floor 5,floor 6,floor 7,floor 8,floor 9,floor 10,floor 11,floor 12,floor 13,floor 14,floor 15,floor 16,floor 17,floor 18,floor 19,floor 20,floor 21,floor 22,floor 23,floor 24,floor 25,floor 26,floor 27,floor 28,floor 29,floor 30,floor 31,floor 32,floor 33,floor 34,floor 35,floor 36,floor 37,floor 38,floor 39,floor 40,floor 41,floor 42,floor 43,floor 44,floor 45
DBEB,Y,10,5.51E-01,0.519238539,0.728733489,0.753439523,0.515529656,0.499248899,0.767003367,0.449202279,0.418611759,0.279228179,0.63989899,0.908930329,0.312784253,0.315027195,0.456785807,0.246794095,0.317464387,0.337060347,0.502652163,0.6796892,0.243030562,0.445998446,0.411186221,0.226433825,0.236573168,0.265866356,0.338570319,0.312325822,0.216732712,0.365801606,0.375040145,0.269023569,0.239610205,0.306379176,0.341890702,0.331458171,0.213308469,0.335902616,0.284558405,0.221900544,0.1742072,0.199550117,0.286280756,0.322610723,0.274643875
DBEB,Y,11,0.493905724,0.498036778,0.568629889,0.562043512,0.496775447,0.614221704,0.707902098,0.512476042,0.508399378,0.436265216,0.853796944,0.945537426,0.511862212,0.574426314,0.636174566,0.47044289,0.482248122,0.491693862,0.748785289,0.747630148,0.333799534,0.692802383,0.651364931,0.434667185,0.382926703,0.353949754,0.557565398,0.587586118,0.351344211,0.605993266,0.672908573,0.40045325,0.337055167,0.288671329,0.524379694,0.597360787,0.231678322,0.61027454,0.580637141,0.271455581,0.212570319,0.323983424,0.441103341,0.507907278,0.44001554
MCEB,X,1,0.189999741,0.20052344,0.220567729,0.232456876,0.230336959,0.210638177,0.20349728,0.207225589,0.243312354,0.266506087,0.257723647,0.227205905,0.221676768,0.21537037,0.207080031,0.217252266,0.230530951,0.243340585,0.250984719,0.250358715,0.245607874,0.237210826,0.226530951,0.242767936,0.222335405,0.226898213,0.27012432,0.324074074,0.336218596,0.305936286,0.268912199,0.283027713,0.30995856,0.304970215,0.282639213,0.272009842,0.27048433,0.273089873,0.267197617,0.232852629,0.23503885,0.231485366,0.239407925,0.363473193,0.46970733
MCEB,X,2,0.253531728,0.268440818,0.29999223,0.317042217,0.325811966,0.332007252,0.326609687,0.312160062,0.291963222,0.287060347,0.285107485,0.313978244,0.335480445,0.335718726,0.316117586,0.290764051,0.26981352,0.266987827,0.24476949,0.257773893,0.283286713,0.289437969,0.305019425,0.28012173,0.28006216,0.287078477,0.277557628,0.319015799,0.342025382,0.31950272,0.262224812,0.244577312,0.252030303,0.302905983,0.285822326,0.261836312,0.283237503,0.264763015,0.291214711,0.350549081,0.334017094,0.302859363,0.288780109,0.316920487,0.432978503
MCEB,X,3,0.458174048,0.508451178,0.577573168,0.574447034,0.52017871,0.454237244,0.464905465,0.479487179,0.482644393,0.468062678,0.498891479,0.522729863,0.510696711,0.45976431,0.446739187,0.473221963,0.447464387,0.419023569,0.474599845,0.47030303,0.487549858,0.423416213,0.409461279,0.462535613,0.500994561,0.482390572,0.463657084,0.452797203,0.443302253,0.451370111,0.521629112,0.505107485,0.564257964,0.504250194,0.468181818,0.499173789,0.516345506,0.488588449,0.555047915,0.540580161,0.543499093,0.495024605,0.306257446,0.434529915,0.633553484
MCEB,X,4,0.182724424,0.183564103,0.182730381,0.186511267,0.186572909,0.190242683,0.197524476,0.221897177,0.263167573,0.271548822,0.250088837,0.238937581,0.244815592,0.23817871,0.219775447,0.213452473,0.223563326,0.231017353,0.263970474,0.338780109,0.320642321,0.22359855,0.218386428,0.233814556,0.25972805,0.264568765,0.249200725,0.265382025,0.28960632,0.285281015,0.243374514,0.232230769,0.22583165,0.222317275,0.225956229,0.234861435,0.252124061,0.256347319,0.26990417,0.255929034,0.229153069,0.220119399,0.258596478,0.310587931,0.376490546
MCEB,X,5,0.266946387,0.285283605,0.323851334,0.351007511,0.349399119,0.304750065,0.285037555,0.288932919,0.301023051,0.305066045,0.303416213,0.308417508,0.312356902,0.295884486,0.261833722,0.248698524,0.287754468,0.358793059,0.408689459,0.407604248,0.34956229,0.272178192,0.260650091,0.293732194,0.313789174,0.314037814,0.298873349,0.309324009,0.316493136,0.280562031,0.292305102,0.327210567,0.322478632,0.333745144,0.284247604,0.256575758,0.307744108,0.343882414,0.361939912,0.351828542,0.423105413,0.383597514,0.248181818,0.312294742,0.472900803
MCEB,X,6,1.13E+00,1.206573427,1.368443408,1.499013209,1.413455063,1.167342657,1.172965553,1.143781404,1.113563844,1.092978503,1.016456876,1.002729863,1.025516706,0.977376327,0.936228956,0.905224035,0.885757576,0.863921264,0.900831391,0.850603471,0.902460502,0.925817146,0.817883968,0.784087024,0.717710438,0.727459207,0.786814297,0.805827506,0.823403263,0.762760943,0.776752137,0.787984978,0.811318311,0.792864543,0.810751101,0.819230769,0.716335146,0.724700855,0.795661746,0.777824398,0.778109298,0.768565139,0.519059829,0.557511008,1.002400932
MCEB,X,7,1.58037037,1.62984719,1.8704921,1.910963481,1.747334887,1.541761202,1.463825434,1.397420357,1.333019943,1.261067081,1.21009324,1.190595701,1.170852111,1.170932401,1.158246568,1.133848744,1.075475265,1.053936804,1.103082103,1.053566434,0.940528361,0.936493136,1.003335923,1.001323491,0.92003885,0.839181559,0.876902357,0.860934991,0.85985237,0.96000259,0.855809376,0.80995079,0.676790987,0.855889666,0.785824916,0.742476042,0.821416731,0.846622637,0.876555297,0.905516706,0.644532505,0.774208754,0.623556074,0.674177674,0.999191919
MCEB,X,8,1.014397824,1.096620047,1.228153328,1.231077441,1.137207977,0.901331261,0.798741259,0.79973841,0.857441077,0.921538462,0.968254338,0.957371147,0.891349391,0.801649832,0.829401709,0.89035483,0.931551412,0.941284641,0.935578866,0.919458689,0.943885004,0.939469049,0.894281274,0.84992748,0.842887853,0.842351722,0.808790469,0.688350168,0.574431494,0.735721316,0.684156954,0.590595701,0.56963481,0.651196581,0.561471121,0.447645688,0.587788138,0.732007252,0.710940171,0.586208236,0.484283864,0.485286195,0.467321937,0.500789951,0.801007511
MCEB,X,9,0.542693603,0.583317793,0.693260813,0.745503756,0.716407666,0.657241647,0.672691013,0.718935509,0.721699042,0.703838384,0.669412069,0.691916602,0.704625745,0.686402486,0.690989381,0.656599327,0.585731676,0.616102046,0.617653458,0.564162134,0.593198653,0.580520591,0.607145817,0.537047397,0.555545196,0.568065268,0.538321678,0.635669516,0.653633774,0.64994302,0.566161616,0.561393421,0.654032634,0.687187257,0.699070189,0.497637918,0.603960114,0.813452473,0.697404817,0.697441077,0.71026418,0.563872054,0.394431494,0.525138565,0.872934473
MCEB,X,10,0.555508936,0.575801606,0.635809376,0.612336182,0.579137529,0.603475783,0.573162393,0.555006475,0.561626522,0.566363636,0.53044548,0.498430458,0.548935509,0.57951567,0.583711474,0.573607874,0.575208495,0.607912458,0.586731417,0.525156695,0.557057757,0.584307174,0.567272727,0.542737633,0.508865579,0.536096866,0.568199948,0.523069153,0.487770008,0.489386169,0.554154364,0.558184408,0.510712251,0.515690236,0.563152033,0.454488474,0.56983683,0.656244496,0.661779332,0.621566952,0.536117586,0.47955193,0.498790469,0.414967625,0.752429422
MCEB,X,11,0.830536131,0.886228956,0.980813261,0.944040404,0.874760425,0.881551412,0.826941207,0.784845895,0.75951049,0.732854183,0.701131831,0.727801088,0.744755245,0.731126651,0.711362341,0.69989899,0.701414141,0.683765864,0.657417767,0.639049469,0.667264957,0.69960632,0.665708366,0.626394716,0.637736338,0.64019166,0.734902875,0.664599845,0.600660451,0.650963481,0.638976949,0.615975136,0.605959596,0.625786066,0.621872572,0.678510749,0.555982906,0.715514116,0.644185444,0.617345247,0.638811189,0.666809117,0.497902098,0.611067081,0.855568506
MCEB,Y,1,0.164177674,0.167028749,0.178918415,0.180382025,0.173794613,0.210364413,0.227688682,0.171825952,0.151173012,0.157694121,0.226692049,0.226601399,0.135354312,0.164414141,0.178630925,0.155440559,0.168048433,0.194843305,0.244090909,0.265659156,0.16327195,0.251982647,0.232528361,0.191060865,0.178993007,0.189326858,0.244232323,0.249530951,0.189897695,0.256236208,0.276166796,0.209643616,0.182765087,0.167255115,0.228179746,0.225639472,0.183783476,0.248509972,0.264001554,0.196617198,0.201900803,0.257986532,0.275172235,0.278635069,0.32016317
MCEB,Y,2,0.315340585,0.308041958,0.313237503,0.306203056,0.303455063,0.426948977,0.443110593,0.351406371,0.38030044,0.422592593,0.661149961,0.751919192,0.400958301,0.484887335,0.455394975,0.307024087,0.28981611,0.305848226,0.502009842,0.50010619,0.278995079,0.461541052,0.43006475,0.315464905,0.339150479,0.334219114,0.453576794,0.535242165,0.335529656,0.4295338,0.466635587,0.313618234,0.254872831,0.312178192,0.445651386,0.456928257,0.268575499,0.378850039,0.380777001,0.297363377,0.283809894,0.413206423,0.52002849,0.527130277,0.428236208
MCEB,Y,3,0.297409997,0.308883709,0.375454545,0.379109039,0.301561772,0.5902072,0.651362341,0.390958301,0.345348355,0.352724683,0.576915307,0.633874644,0.33972287,0.441618752,0.44023051,0.343778814,0.344571355,0.341261331,0.492331002,0.54001554,0.311320901,0.451989122,0.431789692,0.337956488,0.311924372,0.345154105,0.478083398,0.461450401,0.376495726,0.602237762,0.564672365,0.431170681,0.318085988,0.257729345,0.432450142,0.42979539,0.271445221,0.521398601,0.538521109,0.305594406,0.238469826,0.417640508,0.482794613,0.52991971,0.430523181
MCEB,Y,4,0.130994561,0.133865838,0.158889666,0.167100751,0.139302253,0.255886299,0.311173271,0.226080808,0.226013727,0.256169904,0.336001036,0.335141155,0.261919192,0.323108003,0.344584305,0.267422947,0.256477596,0.258479409,0.329274799,0.335519296,0.235426573,0.351559182,0.348725719,0.25180316,0.247714841,0.24598964,0.260577571,0.289243719,0.197458948,0.297790728,0.358894069,0.263820254,0.20389899,0.194626263,0.263859104,0.280979021,0.218504015,0.312419062,0.302582233,0.231441854,0.195322196,0.321719762,0.367759648,0.438490028,0.357441077
MCEB,Y,5,0.271028231,0.277233877,0.327523958,0.339461279,0.308565139,0.420652681,0.461258741,0.308549599,0.283967884,0.284726755,0.482680653,0.516322196,0.240266511,0.417930588,0.465457135,0.293703704,0.330668221,0.333198653,0.558145558,0.563429163,0.245099715,0.436752137,0.508901839,0.342950013,0.282481222,0.27047397,0.507125097,0.554144004,0.306671847,0.545573686,0.579096089,0.27983165,0.232632997,0.192770267,0.431276871,0.51041181,0.201478114,0.395485625,0.38982906,0.206675214,0.184770008,0.320637141,0.333569024,0.377671588,0.32966071
MCEB,Y,6,1.33997151,1.293895364,1.511582492,1.568148148,1.264237244,2.342602953,2.733903134,1.531010101,1.40982647,1.371714582,2.923154623,3.72996633,1.188806009,1.564993525,1.872561513,1.109075369,1.1596374,1.123144263,1.743939394,2.100652681,0.658502979,1.456700337,1.543392903,0.907679358,0.91955193,0.848407148,1.296736597,1.216534577,0.6103108,1.251595442,1.448570319,0.784024864,0.631924372,0.522022792,0.983291893,1.116304066,0.47998446,1.215767936,1.231743072,0.558883709,0.364871795,0.457482517,0.625685056,0.726371406,0.558049728
