Intensity Level,Direction,Ground Motion ID,story 1,story 2,story 3,story 4,story 5,story 6,story 7,story 8,story 9,story 10,story 11,story 12,story 13,story 14,story 15,story 16,story 17,story 18,story 19,story 20,story 21,story 22,story 23,story 24,story 25,story 26,story 27,story 28,story 29,story 30,story 31,story 32,story 33,story 34,story 35,story 36,story 37,story 38,story 39,story 40,story 41,story 42,story 43,story 44
MCEB,X,1,0.000109287,0.000190075,0.00026339,0.000736763,0.00224769,0.00350912,0.00409757,0.00458554,0.00503001,0.00556561,0.00605446,0.00630015,0.00630269,0.00614786,0.00586309,0.0056327,0.00528297,0.00492129,0.00463005,0.00445192,0.00458487,0.00502733,0.00588768,0.00691601,0.0078594,0.00862006,0.00901252,0.00911511,0.00889497,0.00814741,0.00685521,0.00612325,0.00586867,0.00528462,0.00468826,0.00424597,0.0039256,0.00370135,0.00352762,0.00327736,0.00300063,0.00276368,0.00246172,0.00216244
MCEB,X,2,0.000168745,0.000322849,0.000308392,0.000732446,0.00212359,0.00322335,0.00372325,0.00407999,0.0043557,0.00460875,0.00488818,0.00512789,0.00539138,0.005696,0.00590004,0.00602531,0.00607312,0.00602286,0.0060631,0.00629693,0.00635579,0.00615014,0.00573759,0.00532001,0.00572746,0.00595263,0.00578964,0.00549754,0.00563451,0.00645233,0.00691588,0.00730607,0.00773514,0.00805004,0.00765611,0.00663911,0.0061897,0.00568124,0.00518497,0.00469506,0.00412253,0.00362844,0.0031876,0.00274284
MCEB,X,3,0.000269253,0.000510386,0.000466692,0.000814131,0.00233025,0.00355363,0.00407362,0.00440222,0.00464805,0.00494754,0.00528839,0.00551153,0.00567553,0.00591815,0.00606165,0.0060551,0.00575953,0.00530234,0.00518541,0.00490819,0.00433421,0.00391129,0.00416649,0.00417922,0.00392354,0.00426884,0.00456253,0.004785,0.00491504,0.00551293,0.0064254,0.00721301,0.00779314,0.00740812,0.00657623,0.0062087,0.00548316,0.00518772,0.00454456,0.00405733,0.00439991,0.00402207,0.00329612,0.0026266
MCEB,X,4,8.96E-05,0.000184782,0.000282559,0.000809748,0.00245696,0.00370989,0.00426056,0.00474991,0.00505877,0.00560815,0.00610543,0.00628549,0.00615976,0.00583076,0.00594324,0.0063806,0.00643518,0.00611494,0.00606758,0.00641145,0.00668234,0.00696204,0.00719879,0.00724724,0.00704828,0.0067634,0.00637741,0.00595512,0.00544269,0.00576509,0.00613921,0.00627418,0.00608054,0.00585249,0.00568379,0.00502196,0.00500624,0.00465395,0.0045005,0.00415902,0.00368272,0.00324054,0.00274059,0.00226456
MCEB,X,5,0.000166252,0.000294911,0.00026214,0.000710998,0.00209796,0.00315878,0.00354419,0.00362581,0.00341937,0.00316179,0.00300873,0.00284331,0.00270739,0.00267725,0.00265829,0.00271292,0.00286361,0.00306556,0.00328797,0.00350573,0.00368599,0.00383379,0.00390101,0.00380838,0.00364958,0.00355946,0.00340547,0.00339737,0.00370371,0.00391949,0.00381156,0.00428641,0.00471467,0.00489304,0.00471597,0.00410904,0.00387359,0.00384231,0.00365276,0.00349852,0.0031286,0.00273091,0.00248871,0.00207693
MCEB,X,6,6.60E-04,0.00129259,0.00101271,0.00131041,0.00321059,0.00473217,0.0056977,0.00651479,0.00707509,0.00732395,0.00729731,0.00719517,0.00744088,0.00780272,0.00814448,0.00839509,0.00842037,0.00837458,0.00832121,0.00822097,0.00789932,0.00752647,0.00713799,0.00670538,0.00622672,0.00576785,0.00546541,0.00539074,0.00605408,0.00647758,0.00610233,0.00581389,0.00561118,0.00611236,0.00656192,0.00624573,0.00701043,0.00659112,0.00643386,0.00544572,0.00452133,0.00475744,0.00499254,0.0041248
MCEB,X,7,0.000851244,0.00160938,0.00129386,0.00160036,0.00366994,0.0057863,0.00702971,0.00791779,0.00859135,0.00919219,0.00978452,0.0102255,0.010378,0.0103265,0.0100821,0.00983578,0.0094542,0.00886034,0.00801671,0.00708583,0.00618438,0.00591748,0.0054959,0.00525695,0.0052746,0.00523338,0.00478842,0.00424189,0.00441881,0.00554236,0.00601283,0.00584832,0.00531801,0.00530113,0.0042007,0.00368646,0.00375835,0.00419218,0.00409101,0.00533542,0.00522277,0.00449532,0.00400717,0.00285465
MCEB,X,8,0.000557736,0.000982681,0.000683758,0.000870659,0.0023193,0.00352982,0.00391679,0.00398238,0.00385028,0.00387185,0.00411129,0.00425239,0.00433029,0.00438018,0.00428295,0.00410592,0.00399159,0.00386991,0.00377211,0.00373605,0.00379354,0.0040256,0.00459778,0.00488489,0.00486034,0.0048647,0.00489642,0.00487768,0.00421724,0.00388713,0.00457894,0.00510789,0.0051667,0.00491641,0.00442831,0.0045731,0.00480828,0.00494903,0.00609245,0.00450524,0.0038694,0.00367339,0.00296576,0.00251003
MCEB,X,9,0.000328166,0.000619108,0.000485172,0.00077493,0.00198992,0.00297046,0.00343582,0.00379658,0.00405328,0.00419537,0.00418567,0.00439471,0.00465878,0.00484608,0.00482729,0.00464915,0.00433566,0.00395999,0.00362003,0.00355413,0.00349638,0.00357433,0.00391874,0.00417578,0.00437055,0.00460407,0.00479036,0.00499037,0.00535284,0.00596237,0.00655084,0.00674088,0.00603028,0.00518093,0.00541478,0.00616964,0.00585542,0.00458146,0.00391234,0.00373304,0.00369821,0.00383734,0.00308989,0.00250732
MCEB,X,10,0.00026317,0.000525846,0.000474985,0.000746619,0.001961,0.00265061,0.00276037,0.00278385,0.00274075,0.00267178,0.00260761,0.00253569,0.00252114,0.0026009,0.00264782,0.00272303,0.00286507,0.00307944,0.00326574,0.00337475,0.00340188,0.00349395,0.00355458,0.00338276,0.00303419,0.00270675,0.00243162,0.00245568,0.0023224,0.00226175,0.00226395,0.00254663,0.00292926,0.00318855,0.00341838,0.00351956,0.00373241,0.0044707,0.00469193,0.00483791,0.00399309,0.00300213,0.00249612,0.00192596
MCEB,X,11,0.000412561,0.000812562,0.000667459,0.000957129,0.00252278,0.00400922,0.00477976,0.00538092,0.00571441,0.00586775,0.00592542,0.0059978,0.00609304,0.006263,0.00645365,0.00649474,0.00611161,0.00539563,0.00476393,0.00467434,0.00481964,0.00503482,0.00506362,0.00495414,0.00494903,0.00504982,0.00531091,0.00562791,0.00552798,0.0057864,0.00561256,0.00562109,0.006205,0.00661172,0.00615089,0.00485776,0.00428004,0.00407902,0.00443872,0.00387503,0.00411955,0.00438086,0.0032563,0.00247044
