Intensity Level,Direction,Ground Motion ID,story 1,story 2,story 3,story 4,story 5,story 6,story 7,story 8,story 9,story 10,story 11,story 12,story 13,story 14,story 15,story 16,story 17,story 18,story 19,story 20,story 21,story 22,story 23,story 24,story 25,story 26,story 27,story 28,story 29,story 30,story 31,story 32,story 33,story 34,story 35,story 36,story 37,story 38,story 39,story 40,story 41,story 42,story 43,story 44
DBEB,Y,10,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04,2.56E-04
DBEB,Y,11,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04,7.05E-04
MCEB,X,1,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04,5.26E-04
MCEB,X,2,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03,1.21E-03
MCEB,X,3,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04
MCEB,X,4,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03
MCEB,X,5,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03,2.53E-03
MCEB,X,6,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03,4.00E-03
MCEB,X,7,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03,1.19E-03
MCEB,X,8,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03
MCEB,X,9,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04
MCEB,X,10,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04,1.14E-04
MCEB,X,11,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06,2.52E-06
MCEB,Y,1,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07,6.12E-07
